ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
11228,Bath Beach/Dyker Heights,Brooklyn,813,1838.74,192.24,8.58
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,2085,2455.57,182.55,10.82
11230,Midwood,Brooklyn,2988,3351.06,256.82,11.85
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,498,1346.14,94.61,4.22
11232,Sunset Park,Brooklyn,661,2338.08,148.56,8.47
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1488,2062.5,192.67,9.24
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2584,2711.3,204.61,11.77
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2441,3068.89,382.2,12.13
11236,Canarsie,Brooklyn,3069,3168.92,312.86,13.39
11237,Bushwick/East Williamsburg,Brooklyn,1169,2305.91,226.84,8.35
11238,Clinton Hill/Prospect Heights,Brooklyn,949,1756.89,192.54,4.89
11239,East New York,Brooklyn,583,4696.55,716.97,14.14
11354,Flushing/Murray Hill,Queens,1494,2691,542.16,9.34
11355,Flushing/Murray Hill/Queensboro Hill,Queens,1625,2030.9,212.46,8.88
11356,College Point,Queens,666,2855.58,180.08,11.55
11357,Whitestone,Queens,942,2356.44,267.66,9.42
11358,Auburndale/Murray Hill,Queens,660,1856.98,120.99,7.3
11360,Bayside (North),Queens,361,1913.78,148.44,7.25
11361,Bayside (North)/Bayside (South),Queens,516,1844.7,207.35,7.57
11362,Douglaston-Little Neck,Queens,365,2057.73,202.95,8.22
11363,Douglaston-Little Neck,Queens,112,1564.46,69.84,6.75
11364,Bayside (South)/Oakland Gardens,Queens,530,1533.45,101.27,6.79
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,1002,2274.65,154.37,9.4
11366,Fresh Meadows/Hillcrest,Queens,446,3237.19,210.49,12.79
11367,Kew Gardens Hills/Pomonok,Queens,1250,2973.41,159.37,11.43
11368,Corona/North Corona,Queens,5170,4632.86,400.56,15.88
11369,Airport/East Elmhurst,Queens,1770,4854.34,499.15,15.12
11370,Jackson Heights/Rikers Island,Queens,1464,4469.05,195.37,14.69
11372,Jackson Heights,Queens,2860,4571.4,415.58,13.51
11373,Elmhurst,Queens,3593,3868.61,319.78,12.97
11374,Rego Park,Queens,1278,3039.41,237.83,11.15
11375,Forest Hills,Queens,1702,2412.37,263.63,9.16
11377,Woodside,Queens,2559,2959.46,228.98,9.89
11378,Maspeth,Queens,851,2460,213.91,9.35
11379,Middle Village,Queens,930,2569.38,276.28,9.61
11385,Glendale/Ridgewood,Queens,2513,2441.47,138.93,10.14
11411,Cambria Heights,Queens,743,3625.41,239.09,15.76
11412,St. Albans,Queens,1347,3423.39,231.28,14.54
11413,Laurelton/Rosedale,Queens,1437,3292.25,235.98,14.53
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,911,3223,222.89,13.41
11415,Kew Gardens,Queens,617,3207.82,275.55,11.3
11416,Ozone Park,Queens,810,3043.46,214.17,13.52
11417,Ozone Park,Queens,973,3111.55,150.3,12.42
11418,Richmond Hill,Queens,1250,3280.4,278.18,14.13
11419,Richmond Hill/South Ozone Park,Queens,1352,2658.86,192.73,14.17
11420,South Ozone Park,Queens,1537,3174.59,221,15.04
11421,Woodhaven,Queens,1340,3174.64,244.02,14.03
11422,Rosedale,Queens,1093,3241.24,198.69,14.36
11423,Hollis/Holliswood,Queens,1197,3735.82,333.95,14.72
11426,Bellerose,Queens,552,2710.76,166.97,12.51
11427,Bellerose/Hollis Hills/Holliswood,Queens,866,3730.77,224.02,13.73
11428,Queens Village,Queens,726,3756.32,279.4,15.62
11429,Queens Village,Queens,1056,3766.54,267.51,14.57
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,2103,3327.77,408.26,13.97
11433,Jamaica,Queens,1063,2949.85,224.78,12.95
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2297,3401.14,294.66,14.21
11435,Briarwood/Jamaica,Queens,1842,3194.38,260.13,13.79
11436,South Jamaica/South Ozone Park,Queens,594,2854.75,221.07,13.77
11691,Edgemere/Far Rockaway,Queens,2891,4464.24,580.61,14.18
11692,Arverne/Edgemere,Queens,719,3573.52,462.22,12.37
11693,Arverne/Broad Channel,Queens,354,2859.16,234.22,12.02
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,804,3949.74,442.13,13.49
11697,Breezy Point,Queens,123,3477.83,141.38,7.12
